# Created by Marcelo Bianchetti
# Format:
#   First line: |N|  |E|
#   Other lines: <node node weight>
28  41
0 1 514
0 3 540
0 19  690
1 2 393
1 4 594
1 6 600
1 17  747
2 3 259
2 8 474
3 7 552
3 20  1067
4 5 507
4 18  796
5 6 218
5 9  327
6 8 271
7 8 592
7 11  381
8 10  456
9  10  522
9  12  720
10  11  757
10  14  534
11  15  420
11  24  775
11  25  540
12  13  783
12  21  1500
13  14  400
13  22  551
14  15  376
15  23  668
16  17  834
16  18  760
19  20  462
21  22  1209
22  23  474
23  24  819
24  26  1213
25  27  722
26  27  623
