# Created by Marcelo Bianchetti
# Format:
#   First line: |N|  |E|
#   Other lines: <node node weight>
30  56
0 2 70
0 14  107
0 25  185
1 7 116
1 8 105
1 14  100
1 26  213
2 13  110
2 14  91
2 24  156
3 4 94
3 5 136
3 6 97
4 5 234
4 6 155
5 7 133
5 10  116
5 11  163
6 7 122
6 8 220
7 8 126
8 9  150
9  26  243
9  28  281
10  11  95
10  13  114
10  14  142
11  12  87
11  13  79
12  13  125
12  15  151
13  23  144
14  26  136
15  16  160
15  17  130
16  17  117
16  18  176
17  21  101
17  23  167
18  19  126
18  21  144
19  21  120
19  22  174
20  27  308
20  28  192
20  29  135
21  22  180
21  24  230
22  24  170
22  25  250
23  24  171
24  25  150
25  29  170
26  27  148
26  29  275
27  28  133
